Birim_Id,Birim_Adi,Birim_Tur_Id,Birim_Tur_Adi,Yoksis_Id_x,Rapor_Sayisi,Yoksis_Id_y,Hedef_Sayisi,Yoksis_Id,Gerceklesen_Hedef,Planlama_Etkinligi,Rapor_Basina_Hedef,Ortalama_Hedef_Gerceklesme,Basari_Duzeyi
29920486.0,TÜRKÇE ÖĞRETİMİ ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,29920486.0,254,,0,0.0,254.0,0.0,Orta
30627815.0,ARKEOLOJİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,30627815.0,1,30627815.0,357,,0,0.0,178.5,0.0,Orta
31903149.0,KİMYA BÖLÜM BAŞKANLIĞI,0,Tanımsız,31903149.0,2,31903149.0,476,,0,0.0,158.66666666666666,0.0,Orta
32317864.0,ÇEVRE MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,32317864.0,476,,0,0.0,476.0,0.0,Orta
32869392.0,GÖÇ VE KALKINMA ÇALIŞMALARI UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,32869392.0,282,,0,0.0,282.0,0.0,Orta
33475661.0,TARİH BÖLÜM BAŞKANLIĞI,0,Tanımsız,33475661.0,2,33475661.0,357,,0,0.0,119.0,0.0,Orta
33576376.0,TARLA BİTKİLERİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,33576376.0,1,33576376.0,357,,0,0.0,178.5,0.0,Orta
33765793.0,SINIF ÖĞRETMENLİĞİ BÖLÜMÜ,0,Tanımsız,33765793.0,1,33765793.0,476,,0,0.0,238.0,0.0,Orta
36613639.0,MATEMATİK BÖLÜM BAŞKANLIĞI,0,Tanımsız,36613639.0,1,36613639.0,476,,0,0.0,238.0,0.0,Orta
37632145.0,RESİM BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,37632145.0,357,,0,0.0,357.0,0.0,Orta
38352607.0,KARAİSALI MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,,0,38352607.0,615,,0,0.0,615.0,0.0,Orta
40181749.0,İSTATİSTİK UYGULAMA VE ARAŞTIRMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,40181749.0,10,,0,0.0,10.0,0.0,Orta
40257271.0,POZANTI MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,40257271.0,3,40257271.0,615,,0,0.0,153.75,0.0,Orta
41033997.0,İKTİSAT BÖLÜM BAŞKANLIĞI,0,Tanımsız,41033997.0,2,41033997.0,357,,0,0.0,119.0,0.0,Orta
41068473.0,YUMURTALIK MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,0,Tanımsız,41068473.0,1,41068473.0,615,,0,0.0,307.5,0.0,Orta
41324129.0,PSİKOLOJİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,41324129.0,2,41324129.0,595,,0,0.0,198.33333333333334,0.0,Orta
41681049.0,BİLGİ İŞLEM DAİRE BAŞKANLIĞI,0,Tanımsız,41681049.0,1,41681049.0,821,,0,0.0,410.5,0.0,Orta
41829783.0,"TEKSTİL, GİYİM, AYAKKABI VE DERİ BÖLÜM BAŞKANLIĞI",0,Tanımsız,,0,41829783.0,357,,0,0.0,357.0,0.0,Orta
42036022.0,BİLGİSAYAR MÜHENDİSLİĞİ BÖLÜM BAŞKANLIĞI,0,Tanımsız,,0,42036022.0,401,,0,0.0,401.0,0.0,Orta
44067625.0,PERİNATAL TANI ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,44067625.0,16,,0,0.0,16.0,0.0,Orta
44223406.0,KALITSAL KAN HASTALIKLARI ARAŞTIRMA VE UYGULAMA MERKEZİ MÜDÜRLÜĞÜ,0,Tanımsız,,0,44223406.0,16,,0,0.0,16.0,0.0,Orta
45346595.0,SOSYAL BİLGİLER ÖĞRETMENLİĞİ BÖLÜMÜ,0,Tanımsız,45346595.0,2,45346595.0,357,,0,0.0,119.0,0.0,Orta
45537984.0,SOSYAL BİLİMLER ENSTİTÜSÜ MÜDÜRLÜĞÜ,0,Tanımsız,45537984.0,3,45537984.0,600,,0,0.0,150.0,0.0,Orta
45779534.0,İŞLETME BÖLÜM BAŞKANLIĞI,0,Tanımsız,45779534.0,1,45779534.0,476,,0,0.0,238.0,0.0,Orta
